Reviewer name,Review date,Review content
Rayyaan Khan,2026-03-01,Tvvvvv
MAHABUB SHAIKH,2026-03-01,Wasted of money. Cheater company
Robin Baudouin,2026-03-01,Shameful!
Sense,2026-03-01,Don't buy there product phones dont…
Orla Brady,2026-03-01,The worst company you could ever deal…
Verifrost,2026-03-01,Love the new phone designs
Rishita Gudhka,2026-03-01,Good products
Clara Tan,2026-02-28,Samsung has poor Customer Service &…
Richard M.,2026-02-27,Terrible customer service
Danil Sinnathurai,2026-02-27,Amazing display colors and fast phones!
Robin Bird,2026-02-27,Disabled my phone for 2 days now over $150 charge I wasn't even made aware of.
Vas,2026-02-26,Scam
Dania Macias,2026-02-26,"DON'T BUY SAMSUNG, CHEAP QUALITY, HIGH PRICE"
Matthew Boyd,2026-02-26,Bought a brand new A17 Samsung phone…
STEVE GUNTER,2026-02-25,Service issues are  taking over 2…
munim siddiqui,2026-02-25,Paid for Express Delivery on Feb 24 - Still No Phone! Team Leader Ahmed is a Complete Liar
Gireesh,2026-02-25,brought AC not get customer care…
Vanessa MILOSTIC,2026-02-25,A very happy Samsung customer
Lisa Hall,2026-02-24,There's so many things wrong with this…
Frank O'Connor,2026-02-23,THE WORST CUSTOMER SERVICE IN THE…
dave,2026-02-23,l know a lot of  people are having this…
Theresa,2026-02-23,I am not happy with the service I got…
Anthony Kwek,2026-02-23,S23Ultra Green Pink lines
A. Mattson,2026-02-21,Samsung Dryer Will Not Turn Off
Raed Nouri,2026-02-21,Extremely poor communication
Kathy,2026-02-20,Samsung's deception. Do not buy from them.
Jay Huynh,2026-02-20,Their online store is a joke because…
Antony Armitage,2026-02-20,terrible
Paige Francis,2026-02-19,Delivery issues/customer service issues
Federico Perazzoni,2026-02-18,I bought both a Samsung TV and a…
pixel_dan,2026-02-18,Innovative devices with good screens…
Chris Piascinski,2026-02-17,The customer service is a joke to smoke…
Makaila,2026-02-17,i bought a smart fridge
DeBorah Lewis,2026-02-17,Ongoing Issues with Samsung Galaxy S24 – Request for Resolution
Charles Sa'vion Gable,2026-02-17,"""DO NOT BUY FROM SAMSUNG SHOP"
Angela,2026-02-17,DO NOT EVER buy Samsung
Amy,2026-02-16,Faulty Ice Maker
Maretha Butler,2026-02-16,Samsung not replacing faulty refrigirator.
Urvashi Dhawariya,2026-02-16,Such a pathetic experience
Amy,2026-02-16,Very poor customer service.
Randy Cucci,2026-02-15,My 34in ultrawide monitor failed after…
Nicholas Stonacek,2026-02-14,It's cool at first when you get a nice…
Mark Gottlieb,2026-02-13,Wife's Galaxy Watch5 Spontaneous Crack – Samsung REFUSES No-Fee Repair Eval (42 Cases!)
Sonali Kharat,2026-02-13,Worst service ever staff is so rude
William,2026-02-13,Samsung has lost its way!
Cindy Ramzi,2026-02-13,This is Cindia khemer i bought a fridge…
Jocelyn,2026-02-12,Battery life is not good.
Paul Harding,2026-02-12,No technical support
Anna Dibartolo,2026-02-12,Don't buy Samsung Series 5 AI Energy WiFi Connected washing machine WW90CGCDAE 9kg
Natalie,2026-02-11,Shocking customer 'service'
Tomas Kracalik,2026-02-11,"Absolute Scam – Ordered Samsung Phone, Never Delivered, Customer Service Hung Up on Me 3 Times"
Steve Lang,2026-02-10,My Samsung S95D 55in was not working it…
jamil kabbara,2026-02-10,I purchased the flagship Samsung…
Ho,2026-02-10,VAT cashback promo was hard to claim
